RespondentID,Staff_Friendliness,Response_Speed,Complaint_Handling,Store_Cleanliness,Product_Durability,Product_Design,Value_For_Money,Product_Features
181,4,4,5,4,3,3,3,2
182,4,4,1,3,3,3,3,4
183,4,2,4,4,3,4,4,4
184,5,5,3,5,4,4,4,5
185,5,4,4,3,4,3,4,5
186,4,5,4,4,4,5,4,4
187,4,4,3,3,4,3,4,3
188,4,6,5,4,4,4,4,3
189,3,3,3,3,4,4,5,4
190,3,2,3,1,5,6,4,5
191,3,3,4,4,4,4,3,5
192,6,4,5,6,3,3,4,3
193,4,4,4,4,2,3,2,3
194,3,4,2,4,4,5,4,5
195,4,5,5,4,4,5,4,4
196,3,4,4,4,3,2,4,5
197,4,3,2,4,6,4,4,4
198,4,4,4,4,4,3,6,4
199,3,4,5,4,4,6,6,6
200,2,4,4,3,5,5,4,4
201,4,5,4,4,6,5,5,6
202,6,4,4,5,6,5,5,5
203,5,6,5,5,4,4,4,4
204,4,6,6,4,4,5,5,6
205,3,3,3,3,4,4,5,3
206,3,3,4,3,6,5,5,6
207,3,5,5,4,4,4,3,2
208,4,5,5,4,6,5,4,4
209,4,5,4,5,5,5,5,5
210,7,7,7,7,2,3,4,3
211,6,4,4,4,3,1,4,2
212,6,4,5,5,1,3,1,3
213,5,4,5,6,4,3,4,5
214,4,4,5,5,5,3,5,4
215,5,4,4,4,5,5,5,5
216,5,6,5,4,3,5,4,4
217,3,3,3,3,6,5,6,5
218,4,4,2,3,3,4,4,3
219,4,3,4,3,2,4,2,2
220,4,5,4,4,2,5,4,4
