StoreID,Monthly_Footfall,Avg_Transaction_Value,Staff_Count,Store_Age_Years,Distance_From_Warehouse_KM,Parking_Spots
150,2054,770.37,4,20,6.0,16
151,3069,1056.81,15,15,46.4,33
152,1996,1490.04,5,26,94.2,30
153,2028,1456.22,18,5,132.6,32
154,2643,698.73,9,29,129.4,36
155,2907,334.7,12,20,42.4,21
156,1433,374.9,9,22,17.1,5
157,4662,200.03,6,13,120.6,43
158,743,1576.15,24,28,77.7,29
159,3588,444.19,17,4,50.8,35
160,2346,1666.16,8,16,77.9,2
161,1814,698.57,21,26,15.1,42
162,4002,516.06,18,11,101.4,1
163,3984,1035.0,4,16,142.6,12
164,2169,1528.05,14,22,93.7,28
165,4846,1724.28,6,22,90.8,4
166,3917,1138.02,7,15,11.8,4
167,3102,721.94,14,13,112.1,12
168,3393,963.63,7,26,145.5,17
169,3857,1918.77,5,22,9.5,28
170,1344,1642.75,5,28,87.2,35
171,2800,888.14,23,3,32.4,9
172,1538,1452.87,12,13,17.6,2
173,521,966.13,20,12,126.2,50
174,926,1602.45,15,23,141.3,36
175,895,714.24,5,29,3.6,25
176,3721,946.89,9,22,6.8,53
177,4442,1315.43,23,1,104.1,24
178,1101,477.73,4,11,45.9,17
179,3450,1512.3,9,1,37.2,2
180,4943,1399.73,5,10,148.0,13
