EmployeeID,Overall_Job_Satisfaction,Would_Recommend_Employer,Office_Comfort,Equipment_Quality,Commute_Convenience,Team_Camaraderie,Social_Events_Quality,Sense_Of_Belonging,Manager_Approachability
61,5,4,4,4,2,4,1,4,4
62,3,5,6,5,3,5,4,6,5
63,2,5,3,4,4,4,6,3,4
64,2,6,4,2,2,4,5,3,4
65,3,3,6,5,6,7,6,5,5
66,1,2,5,2,1,3,1,1,3
67,4,4,3,5,3,4,5,5,3
68,4,6,6,4,5,4,4,4,4
69,5,5,5,5,5,4,3,4,4
70,6,4,5,6,3,4,6,7,6
71,2,3,4,5,4,3,4,3,6
72,2,1,3,3,3,4,2,3,4
73,4,5,4,3,4,5,2,3,5
74,4,4,7,3,5,3,5,4,5
75,5,4,1,3,5,2,2,3,3
76,5,3,2,4,2,3,1,4,3
77,5,3,3,5,7,3,2,4,3
78,2,4,6,4,3,3,5,5,4
79,5,6,3,4,4,5,4,3,3
80,5,6,6,5,6,5,4,4,4
81,6,4,4,4,4,4,3,2,3
82,4,5,6,3,5,4,5,5,5
83,2,4,5,4,3,5,5,6,2
84,3,5,4,5,3,4,5,4,3
85,6,4,5,6,4,4,4,5,5
86,7,6,5,7,4,6,5,5,3
87,5,5,4,4,5,6,6,3,5
88,2,4,4,5,2,2,5,4,4
89,5,3,5,4,5,3,5,5,3
90,5,3,4,2,4,4,4,3,4
91,3,4,2,3,3,5,6,5,3
92,4,5,4,3,1,4,2,4,3
93,4,3,7,2,5,4,5,6,3
94,3,3,3,5,2,4,2,3,4
95,2,3,4,4,4,2,4,3,4
96,5,3,3,5,5,4,4,5,6
97,2,3,1,3,2,5,5,4,3
98,4,3,4,5,4,2,2,4,5
99,3,5,3,5,3,4,3,5,4
100,3,4,5,4,5,3,3,3,6
101,2,1,3,3,2,2,3,4,2
102,4,4,3,2,5,4,3,4,4
103,4,3,5,5,5,6,3,2,4
104,5,6,5,6,4,2,5,5,4
105,3,2,4,3,4,3,3,5,3
106,6,5,3,5,5,6,6,4,3
107,4,5,4,4,3,3,4,3,3
108,5,6,4,5,4,6,4,4,3
109,5,4,5,3,5,5,5,6,5
110,6,3,6,4,3,6,6,3,4
111,2,4,2,3,3,3,3,4,4
112,3,5,5,5,6,5,5,5,6
113,5,5,3,5,4,7,4,5,6
114,4,5,4,4,6,5,2,4,5
115,3,4,5,3,2,2,5,4,2
116,5,6,3,5,4,4,6,5,4
117,2,1,3,1,1,3,4,4,5
118,5,5,6,7,7,5,7,5,5
119,5,5,4,5,3,2,3,4,6
120,3,3,4,4,5,4,5,5,6
121,5,5,3,3,4,4,4,3,4
122,4,3,3,4,4,5,5,4,4
123,4,5,4,5,3,6,4,4,6
124,3,5,2,2,3,4,3,2,3
125,4,4,2,4,2,4,2,4,5
126,4,5,3,3,4,4,4,3,4
127,3,3,4,4,4,4,4,4,4
128,3,5,7,5,2,5,3,5,7
129,5,3,2,5,4,4,4,4,5
130,4,6,5,6,5,5,4,5,5
131,3,5,5,7,3,4,6,3,4
132,4,3,2,3,3,4,4,3,4
133,3,2,5,5,4,4,4,5,4
134,4,4,3,4,1,3,4,2,3
135,3,5,3,6,5,4,1,4,4
136,5,6,2,5,5,5,4,5,6
137,2,4,5,4,4,5,5,4,4
138,2,5,4,4,3,6,4,4,6
139,5,4,3,4,3,4,5,3,4
140,3,6,4,3,4,4,4,4,6
141,4,3,4,4,4,1,2,3,3
142,6,4,4,3,4,3,2,4,4
143,3,3,5,3,3,3,5,2,5
144,4,6,4,3,3,4,5,4,5
145,5,5,6,4,3,5,3,5,4
146,3,3,3,1,3,3,5,2,4
147,4,2,5,5,4,1,2,3,4
148,3,2,6,3,3,4,3,5,2
149,3,4,3,3,3,4,5,3,4
150,7,5,5,4,5,5,3,6,5
151,5,5,4,4,3,3,3,2,4
152,3,2,4,4,3,5,2,4,3
153,4,4,6,4,4,3,6,4,3
154,4,5,4,4,5,3,7,6,4
155,5,4,3,2,4,5,3,5,2
156,5,4,5,4,3,4,5,5,3
157,5,3,3,4,4,4,4,5,4
158,3,2,2,2,4,4,2,3,5
159,4,5,4,4,4,4,5,4,4
160,4,5,4,4,4,5,3,3,5
161,7,6,6,3,4,6,4,5,6
162,5,3,4,3,2,5,4,4,3
163,2,3,3,5,7,2,6,4,4
164,2,2,2,2,2,3,4,2,2
165,4,3,3,3,3,3,4,4,4
166,4,3,5,5,5,3,4,4,5
167,4,4,4,7,3,4,2,3,5
168,6,6,6,6,5,5,5,5,6
169,4,4,5,3,3,4,2,5,3
170,4,6,4,5,5,6,4,3,5
171,5,5,5,3,5,4,4,5,3
172,4,6,5,4,3,5,4,4,5
173,4,4,3,3,4,3,3,4,4
174,3,2,4,2,4,3,2,5,1
175,3,1,3,1,3,3,4,5,4
176,4,6,5,2,5,4,4,4,5
177,4,3,3,2,3,3,4,4,4
178,6,6,5,3,6,4,5,5,4
179,4,5,4,3,3,4,2,5,6
180,3,5,3,4,3,2,5,3,5
181,3,3,1,2,4,1,1,2,4
182,4,4,4,4,4,5,5,6,4
183,3,4,1,2,4,6,4,4,5
184,4,3,5,4,3,3,4,4,4
185,5,3,4,4,4,3,4,4,2
186,2,3,4,1,2,3,5,3,2
187,4,3,5,4,3,3,6,4,6
188,2,4,3,4,5,4,1,3,4
189,4,4,5,2,4,3,4,2,3
190,3,5,4,4,6,5,4,4,3
191,5,4,4,7,7,4,4,4,5
192,1,3,4,4,5,4,6,3,5
193,5,5,4,4,2,4,4,3,4
194,4,4,4,3,3,5,2,6,5
195,5,5,3,6,5,3,2,2,5
196,4,4,6,4,4,4,4,4,7
197,3,3,5,3,3,4,3,4,3
198,5,5,3,2,4,5,5,5,5
199,4,5,5,6,4,6,4,4,4
200,5,6,7,7,4,3,4,6,5
201,5,4,2,4,5,3,3,3,5
202,3,4,2,4,2,4,4,5,5
203,4,6,6,5,4,4,2,4,5
204,2,4,3,2,3,2,4,3,4
205,4,3,4,7,4,5,5,5,4
206,5,4,3,2,4,3,5,3,4
207,4,5,5,3,5,3,4,3,5
208,5,3,3,4,3,4,2,3,1
209,3,4,4,3,4,4,7,5,3
210,2,4,2,2,4,3,5,3,4
