EmployeeID,Manager_Trust,Leadership_Communication,Fair_Decision_Making,Promotion_Opportunity,Skill_Development,Career_Path_Clarity,Workload_Balance,Flexible_Hours,Time_Off_Support
98,5,4,4,3,3,4,5,6,5
99,4,3,3,3,3,4,4,5,5
100,3,3,5,3,5,4,3,4,3
101,3,3,3,5,6,4,3,4,4
102,4,5,3,3,3,3,3,3,3
103,5,5,5,3,2,3,5,6,5
104,2,2,3,4,4,3,4,5,4
105,4,4,4,4,3,2,5,5,4
106,3,4,3,4,5,5,3,5,5
107,6,6,5,4,5,3,3,3,3
108,4,3,4,4,4,4,5,5,4
109,5,6,6,6,6,5,5,6,5
110,3,3,3,4,3,4,4,4,5
111,3,5,4,6,6,6,3,4,3
112,4,4,5,6,5,6,4,4,5
113,5,4,5,3,4,3,4,4,4
114,4,4,5,2,2,3,6,4,5
115,3,4,3,4,4,4,4,4,3
116,4,4,4,2,4,3,2,4,3
117,5,2,3,2,2,3,5,5,4
118,3,4,5,4,3,4,5,5,4
119,4,2,3,3,3,5,6,6,6
120,6,5,5,4,4,3,3,4,4
121,4,3,3,4,5,4,4,5,4
122,3,2,4,5,6,4,4,3,2
123,5,4,5,3,3,3,2,3,2
124,4,3,3,5,4,5,3,3,3
125,4,4,4,4,3,2,4,5,5
126,5,5,3,3,3,4,2,3,3
127,6,4,5,5,4,3,5,4,6
128,3,3,4,5,4,5,6,4,6
129,5,5,4,4,3,4,4,4,3
130,5,5,4,3,2,2,5,4,4
131,3,4,4,3,5,6,4,3,4
132,4,4,5,4,3,3,4,4,5
133,4,4,4,4,5,5,3,4,3
134,4,5,4,6,5,4,5,5,5
135,3,4,3,4,3,4,4,3,4
136,2,4,4,3,3,3,5,5,5
137,3,4,3,3,2,3,3,4,4
138,3,3,3,5,5,4,5,5,4
139,2,3,2,4,3,3,5,5,5
140,5,5,4,5,4,2,4,4,4
141,5,4,4,4,4,4,4,4,4
142,5,3,5,3,4,3,4,5,4
143,3,3,4,3,4,4,5,5,5
144,3,1,3,3,4,4,4,3,1
145,3,3,3,4,1,3,4,4,5
146,4,4,4,3,3,3,4,5,5
147,3,4,4,4,3,5,4,4,3
148,3,3,3,4,3,4,4,5,4
149,2,5,3,5,4,5,2,3,3
150,3,3,4,4,3,4,5,5,6
151,4,5,4,3,4,4,3,5,5
152,2,3,2,5,5,4,4,5,4
153,3,4,4,3,2,4,5,6,6
154,4,5,5,4,4,5,5,4,3
155,4,5,5,2,2,3,4,4,5
156,5,5,6,4,6,6,3,3,4
157,2,3,2,4,4,3,3,4,3
158,5,5,4,3,4,5,4,2,3
159,5,5,5,6,5,6,5,3,4
160,4,5,4,5,5,5,5,6,5
161,3,4,3,4,4,3,4,4,4
162,5,4,5,5,4,3,6,3,4
163,6,5,5,3,3,2,4,3,2
164,3,3,2,5,4,4,3,3,3
165,5,4,4,4,5,6,3,3,4
166,6,5,6,3,3,3,4,6,5
167,3,3,3,7,5,4,5,5,4
168,4,4,5,4,3,4,4,5,4
169,2,3,4,5,7,4,4,4,4
170,4,4,3,4,3,4,4,4,4
171,3,4,3,4,4,4,4,5,5
172,4,6,4,5,6,4,6,5,5
173,3,4,3,3,4,3,3,3,2
174,5,5,4,3,2,3,4,4,4
175,3,2,3,3,3,4,5,5,5
176,4,4,4,3,4,5,4,4,4
177,6,6,5,3,3,3,4,4,5
178,4,5,4,4,3,4,4,4,3
179,2,3,2,6,4,4,6,6,6
180,6,4,4,2,3,2,3,3,2
181,3,4,3,3,4,4,4,3,5
182,4,4,3,3,3,3,3,2,2
183,4,5,4,4,5,5,6,6,5
184,5,4,5,3,4,4,4,5,4
185,4,5,4,3,4,4,4,3,4
186,3,3,1,3,3,4,3,3,3
187,3,3,3,3,2,4,4,4,4
188,4,4,5,4,4,4,3,4,5
189,3,4,4,3,4,3,4,4,3
190,5,5,5,4,3,5,3,3,3
191,5,4,3,5,5,3,2,5,3
192,4,3,4,5,6,5,3,4,4
193,5,5,4,4,4,4,4,4,3
194,4,4,5,5,3,3,5,4,4
195,2,3,2,3,4,4,5,2,4
196,6,4,6,4,3,4,3,4,3
197,2,2,2,4,5,5,4,4,5
198,4,4,4,4,3,4,4,4,4
199,5,4,4,4,6,5,3,4,4
200,4,3,5,5,5,4,4,4,4
201,3,3,3,3,3,4,4,3,4
202,6,5,5,5,3,5,3,3,3
203,4,3,2,6,5,6,5,4,5
204,3,2,4,2,4,3,4,4,3
205,3,4,3,5,5,4,4,3,3
206,4,5,5,3,4,5,3,3,2
207,4,4,6,4,4,4,3,3,4
208,5,4,5,4,3,4,5,5,3
209,4,4,4,4,5,5,4,4,5
210,4,3,3,2,2,1,3,3,3
211,3,4,5,3,3,4,3,4,3
212,4,2,4,4,3,3,4,4,4
213,4,4,5,4,4,4,4,5,4
214,3,3,3,3,3,3,3,3,3
215,5,5,4,3,3,3,4,4,4
216,4,3,3,5,5,5,5,4,3
217,3,5,4,4,4,5,5,4,5
218,3,3,4,1,3,3,3,3,2
219,3,5,4,3,3,4,5,5,4
220,5,5,5,5,5,3,4,3,5
221,5,4,4,4,3,5,4,3,4
222,6,6,6,4,4,5,4,4,4
223,4,5,4,3,3,4,4,4,5
224,4,4,5,2,4,4,3,2,3
225,4,2,3,4,4,4,5,5,4
226,5,5,5,4,4,5,5,5,5
227,5,5,3,5,4,4,4,4,4
228,3,2,3,3,3,5,5,4,4
229,3,4,4,4,3,4,4,5,4
230,5,4,4,4,3,3,5,6,6
231,5,4,6,5,3,4,4,4,3
232,3,4,5,4,4,5,4,3,5
233,4,4,4,4,3,3,6,4,4
234,5,5,4,4,4,3,6,7,6
235,4,4,4,2,5,4,5,6,3
236,5,5,6,5,5,5,4,5,5
237,6,5,6,6,5,5,4,3,3
238,4,4,4,4,3,4,3,4,3
239,4,5,3,4,4,4,3,4,4
240,4,4,4,4,3,3,5,6,5
