SessionID,Avg_Session_Duration_Min,Pages_Per_Session,Bounce_Rate_Pct,Scroll_Depth_Pct,Click_Through_Rate_Pct,Cart_Additions,Search_Queries_Per_Visit,Newsletter_Signup_Rate_Pct,Video_Plays,Social_Shares
158,8.12,6.66,41.15,22.63,5.22,2.49,2.68,2.38,4.8,1.31
159,3.56,4.4,33.38,41.21,2.73,2.07,1.43,1.4,3.66,1.13
160,8.78,7.6,36.85,38.9,4.55,1.04,2.86,2.06,2.76,0.0
161,5.73,4.85,26.58,6.24,1.72,1.09,0.13,1.41,0.0,2.22
162,4.37,4.68,48.59,61.1,4.4,0.39,3.25,2.72,1.6,2.12
163,6.57,2.75,36.07,51.84,2.28,1.4,0.43,1.61,2.17,1.17
164,8.76,5.98,37.5,47.27,7.35,2.17,0.97,1.91,1.39,0.68
165,0.5,3.83,49.47,36.37,4.38,2.62,2.08,2.64,5.32,0.78
166,8.51,1.87,45.17,71.47,2.29,1.78,0.22,2.67,1.5,1.62
167,9.42,5.02,41.61,69.35,3.81,3.19,2.35,3.02,0.26,1.0
168,3.4,3.29,64.8,53.2,2.47,3.1,2.56,3.88,2.26,1.87
169,9.66,3.26,40.75,77.35,4.32,2.99,1.05,0.43,1.67,0.39
170,8.98,5.56,49.7,44.76,0.71,3.83,1.21,1.07,2.75,0.0
171,6.82,5.42,3.16,58.25,1.79,2.22,1.96,5.6,1.93,2.51
172,10.46,5.24,55.01,67.94,2.87,3.48,0.67,0.14,2.5,0.22
173,9.42,8.58,57.85,47.49,0.08,0.0,0.0,2.91,1.09,2.6
174,7.01,5.68,30.45,61.7,2.13,3.74,3.48,1.87,1.9,0.0
175,9.8,3.04,47.74,70.9,2.28,0.0,1.63,1.31,2.41,2.2
176,10.35,0.97,34.51,79.12,3.97,3.13,0.54,0.0,3.25,1.57
177,5.1,3.43,54.8,79.58,2.15,0.53,0.77,2.33,1.43,0.73
178,7.34,3.45,64.11,81.45,3.72,0.65,0.0,1.41,4.08,0.23
179,7.19,2.92,66.61,72.96,4.34,1.53,3.54,4.46,1.38,0.97
180,0.5,5.22,18.47,93.34,5.24,4.15,2.21,1.61,3.13,0.0
181,6.3,0.0,30.4,32.48,3.15,1.63,0.0,1.01,0.91,0.34
182,3.1,4.73,43.14,58.94,0.67,2.0,0.0,4.52,2.37,1.45
183,7.09,3.68,54.3,37.98,5.56,0.13,1.48,0.0,1.89,1.93
184,4.17,6.36,10.42,81.37,2.45,2.68,1.21,4.0,0.71,2.0
185,5.29,3.82,43.18,66.07,5.92,0.48,0.61,1.81,1.09,0.54
186,8.05,3.33,31.83,71.7,3.47,2.84,1.54,1.3,0.85,1.69
187,3.97,2.48,67.99,52.35,4.29,0.56,2.31,0.53,0.0,0.0
188,6.88,5.79,27.44,47.32,4.68,0.95,2.15,1.77,0.67,0.05
189,3.79,3.62,62.5,34.96,4.14,1.87,0.93,0.11,2.1,0.2
190,3.93,3.88,45.01,80.58,2.04,2.76,1.42,3.37,0.0,0.75
191,9.39,3.85,36.52,53.81,3.33,4.66,0.89,2.01,2.85,0.7
192,10.36,7.1,24.0,47.46,1.96,1.74,1.12,0.0,0.85,0.42
193,6.42,2.47,51.82,49.57,2.03,1.78,2.95,4.45,2.12,0.62
194,6.27,6.02,49.18,72.68,1.14,0.49,0.38,1.86,3.17,0.58
195,5.71,4.04,30.49,53.35,4.29,1.08,2.3,0.97,3.07,2.99
196,4.59,2.15,59.23,77.86,3.51,4.81,2.46,0.96,4.05,0.12
197,7.43,4.86,45.94,65.58,6.51,1.78,1.99,2.06,3.64,2.41
198,8.89,6.47,46.46,52.93,4.86,2.07,0.0,2.94,0.0,0.03
199,5.14,2.31,39.36,60.66,2.09,2.17,1.9,4.22,1.95,2.16
200,1.83,8.44,41.45,72.76,5.25,1.73,1.03,0.83,3.49,2.37
201,2.86,4.38,41.61,100.0,0.0,1.61,0.0,2.84,0.0,0.0
202,4.25,6.62,34.24,20.56,3.37,0.05,3.41,3.31,2.41,1.44
203,11.3,3.82,47.1,60.4,0.9,4.2,0.08,4.2,2.66,1.12
204,4.25,2.84,68.85,26.05,4.13,1.57,1.03,1.47,5.09,0.36
205,7.26,0.77,30.52,44.05,2.02,2.06,2.56,1.11,4.84,2.01
206,5.5,3.07,47.43,62.8,4.9,5.37,1.55,1.34,3.59,0.59
207,4.97,3.92,65.5,52.05,2.65,0.36,0.22,2.06,2.26,0.15
208,9.84,5.88,56.17,62.36,2.75,0.0,1.75,4.97,0.0,1.55
209,9.08,0.73,29.28,54.09,3.16,2.85,1.54,3.84,1.05,1.51
210,2.66,3.12,35.44,52.68,4.78,0.0,1.36,5.58,2.93,0.48
211,9.85,3.94,74.98,41.21,4.26,1.01,0.29,4.77,0.73,0.98
212,7.79,5.33,61.61,68.64,1.63,0.18,2.82,0.3,0.73,0.71
213,13.01,3.03,54.72,64.44,3.32,1.38,1.82,1.11,3.42,1.17
214,4.79,5.12,43.13,78.86,0.0,0.0,1.82,4.41,2.8,1.19
215,6.29,1.53,57.11,73.67,3.65,1.81,2.0,1.44,0.43,0.82
216,7.32,7.69,57.15,66.22,0.0,2.6,2.16,1.17,2.15,0.0
217,2.96,0.0,47.7,54.65,1.84,5.24,0.5,4.01,1.1,0.53
218,9.22,3.4,53.17,69.18,3.11,2.42,0.0,0.93,0.66,0.79
219,6.35,2.01,43.82,39.07,2.68,1.81,0.83,1.8,2.8,0.88
220,8.77,2.59,34.93,11.66,3.68,2.81,0.99,3.47,0.28,0.0
221,3.61,0.0,62.94,59.68,4.6,2.52,1.46,2.01,0.78,0.48
222,8.57,3.05,55.12,61.77,2.54,2.58,1.02,1.76,1.31,1.41
223,9.33,0.92,51.02,50.13,2.05,2.71,1.34,2.04,2.14,0.71
224,3.94,4.75,18.55,71.1,3.33,3.1,2.43,4.66,0.0,1.72
225,3.47,7.33,63.85,45.31,3.61,0.58,0.51,0.0,1.63,2.6
226,4.73,2.32,43.74,55.26,2.23,1.24,0.21,3.13,1.41,1.55
227,4.89,5.73,29.91,10.01,3.25,2.24,2.56,0.5,2.14,1.4
228,7.43,6.34,47.9,26.63,3.54,2.57,0.42,0.93,0.38,0.92
229,7.54,7.7,32.91,45.78,3.43,0.68,2.85,1.38,3.09,1.06
230,3.22,2.79,15.98,86.16,5.16,3.48,1.04,3.22,2.34,1.28
231,3.62,2.79,65.78,38.38,4.24,3.82,1.67,4.03,0.56,1.12
232,10.41,5.76,53.87,84.45,1.92,1.48,0.28,4.71,2.53,1.14
233,3.58,5.76,71.54,61.17,0.93,1.65,1.67,0.73,1.83,0.8
234,12.87,6.57,55.01,55.46,2.74,2.61,0.79,3.26,1.62,0.0
235,7.34,2.64,79.04,65.85,2.9,0.48,1.32,5.28,1.66,0.0
236,3.37,3.78,66.52,78.35,0.79,2.25,0.0,0.11,4.35,0.25
237,7.24,3.61,56.23,35.92,1.65,3.59,0.0,0.93,0.83,1.66
238,1.67,2.67,54.63,41.34,2.75,0.0,1.24,1.48,2.46,1.7
239,7.83,4.2,55.53,41.15,2.25,3.22,2.58,4.75,1.49,0.0
240,2.55,2.66,54.92,19.11,5.08,0.65,0.0,1.21,3.2,1.39
241,1.48,5.97,49.12,52.46,5.42,1.12,0.0,2.55,0.0,1.13
242,7.43,5.75,35.98,31.72,2.24,2.45,0.54,2.72,2.82,1.51
243,8.17,2.09,57.07,70.45,1.0,2.67,3.81,2.8,2.87,0.42
244,5.77,6.15,32.86,52.61,2.78,5.24,2.57,2.02,0.89,0.94
245,5.55,0.0,25.83,76.5,1.09,2.19,0.1,0.0,1.65,0.81
246,6.75,4.32,42.78,68.1,4.2,1.58,1.28,2.25,1.96,0.4
247,0.5,4.53,44.04,71.04,3.36,2.33,1.33,2.75,1.34,1.12
248,0.5,2.18,37.08,34.05,3.21,2.12,1.68,0.34,1.3,0.58
249,1.3,5.48,42.57,91.06,7.15,1.46,2.55,3.53,2.64,0.61
250,11.66,2.46,29.88,61.28,4.42,0.08,0.89,0.16,1.97,0.32
251,0.5,6.17,47.45,39.22,3.48,2.19,1.08,1.18,2.56,0.0
252,3.3,4.02,47.91,78.96,3.23,0.73,1.83,1.09,2.09,0.41
253,2.64,2.4,53.05,60.61,4.56,2.45,1.36,1.86,1.3,0.0
254,3.24,6.64,36.41,60.27,3.87,1.24,2.77,3.87,1.79,0.0
255,6.08,1.52,40.55,80.39,2.78,1.57,1.62,2.84,2.63,0.32
256,3.21,5.71,47.27,42.77,7.94,4.08,0.83,2.08,3.26,0.04
257,6.52,1.78,32.71,25.09,4.82,0.22,0.76,1.04,0.0,1.97
258,7.16,3.13,45.95,59.69,1.8,1.7,1.64,2.47,0.11,0.0
259,0.5,3.26,62.02,75.55,4.93,0.22,2.37,5.2,0.4,2.88
260,5.07,2.08,44.15,77.27,4.85,1.11,2.98,0.27,1.45,0.0
261,1.41,3.66,52.3,41.36,2.93,2.53,0.76,0.41,2.27,2.36
262,12.84,6.38,43.83,76.92,4.37,1.38,1.58,0.65,1.19,2.17
263,9.25,5.27,41.81,59.71,4.28,2.68,1.43,0.0,1.95,1.77
264,10.73,0.95,33.75,92.77,4.52,2.82,2.49,3.2,1.72,1.73
265,2.48,6.66,52.73,66.49,3.71,1.26,3.56,3.5,0.68,1.48
266,7.07,4.1,53.27,51.26,4.55,2.31,2.27,1.09,1.83,0.59
267,3.96,4.74,38.87,33.48,2.74,0.76,0.0,1.56,1.47,1.22
268,0.5,1.75,73.93,75.49,3.44,1.32,1.64,3.97,0.0,0.0
269,4.17,9.56,47.08,100.0,4.55,0.24,1.1,3.1,0.45,0.0
270,7.22,3.54,45.19,78.48,4.74,2.09,0.0,2.55,0.08,0.0
271,5.68,4.4,58.37,59.65,2.36,3.47,0.0,0.52,0.24,0.31
272,9.61,5.11,72.23,71.65,2.51,0.66,3.91,1.4,1.58,0.78
273,3.97,2.38,55.48,29.84,2.74,3.12,1.68,2.24,5.49,3.26
274,2.06,2.43,51.51,56.19,4.93,4.77,1.11,2.44,1.78,0.0
275,7.52,0.93,20.04,73.35,2.89,0.3,1.67,0.11,2.74,1.78
276,7.89,2.49,37.62,20.7,3.06,2.66,1.09,0.0,0.0,0.76
277,1.39,4.49,34.98,32.71,2.01,3.03,1.87,2.2,2.49,0.0
278,7.41,5.01,50.68,39.15,4.0,0.0,1.67,4.74,1.49,3.01
279,3.58,3.66,43.36,68.3,1.72,2.45,0.0,3.17,0.77,0.92
280,2.07,2.01,10.77,56.85,3.93,2.3,1.84,1.89,2.71,0.37
281,7.67,5.76,30.72,67.38,2.58,2.26,2.61,1.6,2.89,0.0
282,2.84,3.08,42.4,90.78,3.48,5.98,1.45,0.0,0.16,0.0
283,6.48,3.78,40.75,54.01,2.62,2.48,2.7,2.05,2.38,0.64
284,3.91,0.51,47.72,13.7,5.12,3.83,3.17,1.67,0.0,1.28
285,8.34,3.32,61.6,81.08,3.19,3.84,1.07,0.34,1.86,0.0
286,8.54,3.07,58.47,45.63,0.0,0.71,2.58,0.0,0.33,2.53
287,1.37,5.89,45.37,71.55,2.96,2.78,2.53,2.18,0.92,1.72
288,7.14,5.16,47.19,83.73,1.47,2.74,1.02,2.95,1.42,0.75
289,7.4,4.25,53.34,58.24,4.55,1.8,2.02,3.04,0.82,1.28
290,5.86,7.13,71.61,52.19,4.33,0.39,2.27,1.62,3.87,0.72
291,7.88,3.01,41.56,31.09,2.61,2.55,2.55,1.14,2.36,0.76
292,2.28,5.06,67.07,52.9,5.6,1.19,0.27,3.24,2.98,0.36
293,6.25,6.18,46.94,67.74,3.72,0.0,0.83,3.76,4.02,0.0
294,8.15,7.67,36.52,30.28,3.01,1.52,2.59,0.47,1.01,0.0
295,3.12,5.17,47.62,77.69,2.73,2.87,0.0,0.0,1.81,1.94
296,4.68,1.87,34.58,29.7,4.81,0.99,2.89,0.0,2.29,0.65
297,8.23,3.76,28.36,60.71,4.01,1.08,1.01,2.39,0.1,0.0
298,5.92,8.16,17.24,47.65,2.75,1.94,1.4,1.55,0.88,0.85
299,10.18,4.84,44.15,88.57,5.25,0.14,2.09,1.07,0.0,1.25
300,6.03,4.1,8.56,29.37,5.65,1.42,0.98,4.27,1.82,0.7
301,6.27,1.31,36.71,79.0,0.03,0.0,0.0,1.43,3.72,0.88
302,10.32,2.23,32.75,44.55,3.19,3.89,1.19,0.5,1.5,2.01
303,0.74,4.68,43.61,85.04,3.77,0.0,2.77,1.59,3.03,2.51
304,4.07,3.07,46.93,33.1,1.61,5.17,0.06,1.38,2.9,1.08
305,6.02,3.99,39.59,53.22,2.13,3.0,2.0,3.85,5.09,0.65
306,7.44,5.61,44.29,48.6,4.71,3.74,0.77,0.41,0.0,0.77
307,7.62,5.53,50.42,82.1,5.48,3.9,1.68,2.69,1.19,0.32
308,8.83,2.47,30.24,74.32,1.35,0.96,0.7,0.0,1.87,1.56
309,14.28,1.31,46.98,75.01,3.84,4.31,1.45,2.0,2.72,0.0
310,2.32,4.35,62.17,59.6,7.45,1.27,2.45,2.61,3.5,0.08
311,3.47,4.67,43.61,40.98,3.26,2.11,0.0,2.23,0.0,0.0
312,1.06,5.4,70.32,57.24,4.71,0.99,3.78,5.77,1.59,1.05
313,10.07,5.58,41.1,67.9,3.65,0.0,0.0,2.09,0.31,1.16
314,7.99,8.54,66.96,60.16,2.33,1.15,1.31,0.0,0.8,0.0
315,1.96,7.26,67.98,97.6,2.42,1.72,3.32,5.52,3.92,0.0
316,1.5,3.28,46.52,46.55,4.19,0.0,0.0,2.44,2.58,0.0
317,3.63,6.03,61.82,55.53,2.32,1.15,2.02,2.37,3.4,1.04
318,3.0,7.51,62.67,40.13,3.45,4.97,0.58,1.23,1.49,0.0
319,7.46,3.68,53.46,70.51,5.89,2.2,0.26,0.0,1.94,0.0
320,5.07,6.89,79.76,26.87,5.49,2.86,0.45,3.77,0.04,0.0
321,9.89,1.18,28.75,67.35,1.2,4.81,2.16,2.2,2.13,1.48
322,0.5,2.24,53.54,44.41,4.08,1.57,1.67,1.17,0.68,1.07
323,3.85,2.65,58.7,27.3,1.52,3.75,1.73,0.0,3.22,1.06
324,2.8,4.16,59.77,51.73,2.2,2.1,1.98,0.87,1.67,0.84
325,4.67,5.29,39.49,52.7,4.87,0.0,2.33,3.27,0.12,0.0
326,8.91,3.23,26.12,29.54,2.6,2.51,0.98,2.23,2.14,1.28
327,10.6,2.87,35.67,63.91,2.81,0.0,1.1,4.28,4.05,1.04
